"Date","FR","DE","GAS","FR_adj","DE_adj","GAS_adj","lFR","lDE","lGAS","crise","covid"
2015-01-02,36.56,22.34,20.3,36.56,22.34,20.3,3.59895474658595,3.10637879364105,3.01062088604774,0,0
2015-01-05,44.8,36.18,19.825,44.8,36.18,19.825,3.80220813942094,3.58850647996715,2.98694376752091,0,0
2015-01-06,44.93,33.67,19.3,44.93,33.67,19.3,3.80510572308207,3.51660723317298,2.96010509591084,0,0
2015-01-07,45.53,38.59,19.1,45.53,38.59,19.1,3.81837144934669,3.65299317554953,2.94968833505258,0,0
2015-01-08,42.52,28.05,19.45,42.52,28.05,19.45,3.74997455347375,3.33398863196871,2.96784707006446,0,0
2015-01-09,33.02,24.48,19.35,33.02,24.48,19.35,3.49711343849198,3.19785645764413,2.96269241947579,0,0
2015-01-12,36.5,22.56,19.75,36.5,22.56,19.75,3.59731226058845,3.11617842662986,2.98315349134713,0,0
2015-01-13,36.82,24.97,19.8,36.82,24.97,19.8,3.60604117580493,3.21767510429168,2.98568193770049,0,0
2015-01-14,38.92,27.68,19.875,38.92,27.68,19.875,3.6615082573178,3.32071013074947,2.9894626605404,0,0
2015-01-15,37.08,24.76,19.9,37.08,24.76,19.9,3.61307774069765,3.2092294478164,2.99071973173045,0,0
2015-01-16,42.14,33.89,19.475,42.14,33.89,19.475,3.74099740837604,3.52311998561896,2.96913159175681,0,0
2015-01-19,46.44,42.75,19.2,46.44,42.75,19.2,3.83816115682969,3.75536919538277,2.95491027903374,0,0
2015-01-20,49.81,47,18.925,49.81,47,18.925,3.90821576708519,3.85014760171006,2.94048379932351,0,0
2015-01-21,50.08,44.93,19.25,50.08,44.93,19.25,3.91362172679184,3.80510572308207,2.95751106073379,0,0
2015-01-22,51.44,43.88,19.425,51.44,43.88,19.425,3.94041607992936,3.78145863540703,2.96656089625371,0,0
2015-01-23,48.49,42.26,19.45,48.49,42.26,19.45,3.88135759111726,3.74384101218791,2.96784707006446,0,0
2015-01-26,47.17,37.23,19.525,47.17,37.23,19.525,3.85375809729617,3.61711488788463,2.97169569572575,0,0
2015-01-27,48.28,33.21,20.075,48.28,33.21,20.075,3.87701739622933,3.50285103538866,2.99947525983283,0,0
2015-01-28,45.24,27.47,20.45,45.24,27.47,20.45,3.81198165124792,3.31309450010718,3.01798288248881,0,0
2015-01-29,49.09,26.93,20.75,49.09,26.93,20.75,3.89365534806996,3.29324090682351,3.03254624667671,0,0
2015-01-30,42.35,38.29,20.25,42.35,38.29,20.25,3.74596842109806,3.6451887654892,3.00815479355255,0,0
