"Date","FR","DE","Gaz"
2015-01-02,36.56,22.34,20.3
2015-01-05,44.8,36.18,19.825
2015-01-06,44.93,33.67,19.3
2015-01-07,45.53,38.59,19.1
2015-01-08,42.52,28.05,19.45
2015-01-09,33.02,24.48,19.35
2015-01-12,36.5,22.56,19.75
2015-01-13,36.82,24.97,19.8
2015-01-14,38.92,27.68,19.875
2015-01-15,37.08,24.76,19.9
2015-01-16,42.14,33.89,19.475
2015-01-19,46.44,42.75,19.2
2015-01-20,49.81,47,18.925
2015-01-21,50.08,44.93,19.25
2015-01-22,51.44,43.88,19.425
2015-01-23,48.49,42.26,19.45
2015-01-26,47.17,37.23,19.525
2015-01-27,48.28,33.21,20.075
2015-01-28,45.24,27.47,20.45
2015-01-29,49.09,26.93,20.75
2015-01-30,42.35,38.29,20.25
2015-02-02,54.18,42.47,20.975
2015-02-03,56.66,45.76,21
2015-02-04,53.67,48.49,21.325
2015-02-05,52.53,43.57,21.65
2015-02-06,52.09,39.29,21.3
2015-02-09,62.04,27.93,21.55
2015-02-10,62.09,44.4,22.25
2015-02-11,55.88,48.58,23.225
2015-02-12,54.24,48.15,24.1
2015-02-13,48.85,38.61,23.4
2015-02-16,54.93,35.63,23.175
2015-02-17,49.86,43,22.875
2015-02-18,51.11,43.22,22.925
2015-02-19,52.07,37.92,22.075
2015-02-20,50.96,30.91,22.45
2015-02-23,46.97,31.98,21.95
2015-02-24,46.23,34.8,22.7
2015-02-25,49.12,44.33,23.125
2015-02-26,48.03,37.12,23.75
2015-02-27,48.81,38.94,23.65
2015-03-02,45.54,26.57,23.3
2015-03-03,51.2,27.61,22.15
2015-03-04,47.59,26.21,22.425
2015-03-05,49.46,36.6,21.95
2015-03-06,50.36,40.09,21.9
2015-03-09,44.71,39.09,21.85
2015-03-10,47.17,37.77,22.025
2015-03-11,46.08,34.96,22.15
2015-03-12,44.99,39.37,21.9
2015-03-13,44.61,36.8,21.475
2015-03-16,54.08,30.86,21.35
2015-03-17,47.52,32.12,21.2
2015-03-18,45.12,36.51,21.5
2015-03-19,42.25,37.35,21.05
2015-03-20,40.84,35.3,21.1
2015-03-23,52.87,41.37,21.3
2015-03-24,56.6,48.2,21.7
2015-03-25,57.02,39.3,21.4
2015-03-26,50.35,40.83,22.4
2015-03-27,50.86,33.6,21.85
2015-03-30,39.15,18.7,21.9
2015-03-31,40.52,16.97,22.2
2015-04-01,44.12,20.68,23.2
2015-04-02,50.05,32.05,22.65
2015-04-07,52.16,36.03,22.55
2015-04-08,54.05,42.18,22.1
2015-04-09,52.6,42.25,22.375
2015-04-10,46.61,35.66,23.075
2015-04-13,48.66,24.07,22.425
2015-04-14,44.27,32.05,21.9
2015-04-15,46.09,27.1,22.25
2015-04-16,44.91,34.64,22.175
2015-04-17,42.67,37.35,21.425
2015-04-20,41.82,32.68,21.7
2015-04-21,41.91,30.2,21.75
2015-04-22,39.09,36.13,21.6
2015-04-23,39.34,34.55,21.3
2015-04-24,35.92,33.28,21.8
2015-04-27,39.75,35.27,21.55
2015-04-28,41.3,36.82,21.525
2015-04-29,41.48,32.33,21.5
2015-04-30,40.29,34.86,20.85
2015-05-01,21.64,23.09,20.025
2015-05-05,27.84,26.77,20.35
2015-05-06,30.37,25.46,20.35
2015-05-07,38.56,28.78,20.15
2015-05-08,25.11,29.37,20.3
2015-05-11,31.26,29.49,21.05
